"","1078764__28111_411489","40214__40324","322095__817_328813","562__53345","28111__411489","39492__1118061","291645__1283_166486","626930__28117_357276","817__328813","1286__33039_338188","376804__310298_387090","54291__158836","28126__40518_384638","626933__218538_487174","1283__166486","454155__296_550","1623__33043_363265","329__39496_147207","1363__287_1351","47770__46228_310297","582__820_239935","457412__291644_751585","28117__357276","1354__573_40545","552398__626932_626940","1582__1680_216816","818__301301","74426__571_37734","43765__823_1735","674529__39491_46506","40519__853_39485","33039__338188","218538__487174","39486__100886_165179","40518__384638","501496__28116_204516","46228__310297","820__239935","287__1351","33043__363265","573__40545","310298__387090","296__550","626932__626940","28125__45851_360807","39491__46506","291644__751585","100886__165179","853__39485","1680__216816","28116__204516","823__1735","329854__626929","665951__46503_88431","729__40520","45851__360807","571__37734","1282__29382","46503__88431","29361__39488","624__2173_658081","1352__1353","1689__33038","39496__147207","2173__658081","28130__116085"
"ERR2239809",0,0,0,5.79234636786095,0,0,0,-5.67992232567179,0,0,0,0,0,0,0,-2.78699869554464,0,0,0,0,-2.52343442944812,0,0.537028898721225,0,0,0,0,0,0,0,-5.18462362494159,0,0,0,0,-2.59493359837698,0,4.37071664137273,0,0,0,0,-4.82722334131151,0,0,0,0,0,0.68390721858855,0,-4.49455683465646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2242031",0,0,0,6.42277726503543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05985265175831,0,0,0,0
"ERR2242043",0,0,0,-3.03160482112547,0,0,0,0,0,0,0,0,0,0,0,-3.16361904181382,0,0,0,0,0,0,0,0,0,0,0,-0.958595524407398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.47954891621391,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.66033615218174,0,0,0,2.20853493229968,0,0,0,0,0
"ERR2242044",0,0,0,6.07690247098463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2242050",0,0,0,6.77645349839234,0,0,-1.36634769231933,0,0,0,0,0,0,0,2.36658362390156,0,0,0,-2.07839184384349,0,0,0,0,-2.14543514955586,0,0,0,-4.41790932614702,0,0,0,0,0,0,0,0,0,0,-3.59988027157368,0,3.71600268337488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122241791569832,0,0,0,0,0,0,0,0,0
"ERR2242051",0,0,0,6.4213792475536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.32627314439076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02922327836781,0,0,0,0,0,0,0,0,0
"ERR2242059",0,0,0,6.64514423917952,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63484276381641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2242060",0,0,0,6.40329495040775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2242061",0,0,0,6.39874769887106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.39088478800168,0,0,0,0
"ERR2242071",0,0,0,6.19754009980415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.60227829447636,0,0,0,-4.50932318253592,0,0,0,0,0,0,0,0,0,0,0,0,4.50727822146674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.26246640782141,0,0,0,0,0.970345242592787,0,0,0,0
