"","28116__1623_218538","33043__69825","40519__1624_84031","1680__166486_301301","28117__46503_74426","216816__341225","1623__218538","39485__1559_1681","33987__239935_626937","1559__1681","46503__74426","166486__301301","328813__817_204516","179995__33038_52226","261299__574375","823__40518_349096","208479__328812","1264__190721","239935__626937","1352__329854","1624__84031","1328__28135","573__907","36835__180282","729__88431","46228__46506_84026","536633__39491_40520","39484__820_821","29348__187327","817__204516","47678__84030","40518__349096","33038__52226","1755626__351091_357276","46506__84026","387090__1366_310297","39491__40520","371601__1365_310298","351091__357276","820__821","28111__39488_165179","1366__310297","1365__310298","39488__165179"
"SRR7423282",0,4.25788157539362,0,0,-2.35352313456446,0,0,-4.75746306473765,0,-0.0119415568666991,-4.0764216458544,0,0,0,0,-2.22677560688436,0,0,0,0,0,0,0,0,0,0,-2.52241638157348,0,0,0,0,3.85688848817873,0,6.12157198050189,0,0,-4.36895333072931,0,0,0,-4.79901950848653,0,0,0.0189156541980105
"SRR7423283",4.91566044258137,0,0,-2.49574029297769,-2.68114869800892,0,0,0,0,0,-4.64388576759859,-4.32274898993419,0,0,0,-2.46702404607751,0,0,0,0,0,0,0,0,0,0,0,-2.37537391184779,0,0,0,4.2730109913004,0,4.2555210121385,0,0,0,-2.51011960892976,4.07117669303382,-4.114268302294,-2.90113873835877,0,-4.34765469574127,-5.02491969464366
"SRR7423284",-5.2581866569856,0,0,0,0,0,-0.702596016221464,4.89215944358347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.61381450850625,-2.70281905149381,0,0,0,0,0,0,5.82906244737013,4.5272595302935,0,4.68141992085239,-2.56442199743544,0,0,-3.0400506565564,0,-4.44170919160544,-5.26552219473881
"SRR7423285",0,0,0,2.21748270805355,-2.33786204578393,0,0,0,0,0,-4.04929584438469,-4.09042381661454,0,0,0,-2.5674872227478,0,0,0,0,0,0,0,0,0,0,0,-2.35880203626644,-3.96560826593436,0,0,4.44701831758311,0,4.2284221377801,0,0,0,0,4.27529329313079,-4.0855649718104,-2.48236131725292,0,0,-4.29957592422567
"SRR7423286",0,-4.12239806973041,0,-4.82710706412206,0,0,0,0,0,0,0,-0.510645186867147,0,0,0,-2.5756795548456,0,0,0,0,0,0,0,0,0,0,-2.35216204923271,-2.49683139150233,0,0,0,4.46120785300897,0,6.63110675599546,0,0,-4.07406417690638,-2.5150878900446,0,-4.32463882801493,-2.94434973043597,0,-4.35626001105844,-5.09976332836682
"SRR7423287",0,0,0,-2.28913709143705,-2.28691757878726,0,0,0,-2.4534351852083,0,-3.96105743918194,-3.96490174785941,0,0,0,0,0,0,4.24947439385793,0,0,0,0,0,0,0,-2.27715063756271,0,-4.35492468692255,0,0,0,0,4.42634842387269,0,0,-3.94414060074647,-2.39288317983002,-3.89082602742137,0,-2.56031788515054,0,-4.14459524404258,-4.43460066060803
"SRR7423288",0,-4.09990391085431,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.36643241961245,0,0,0,0,0,0,0,0,0,0,-2.26178512867708,-0.452112079582323,0,0,0,4.09878118344691,0,6.6497133122437,0,0,-3.91752675867241,-2.55471900466333,0,0.257275122255863,-2.40986788401098,0,-4.42490311513867,-4.17401361463552
"SRR7423289",0,0,0,0,-3.34432770199667,0,0,0,0,0,-5.79254549701831,0,0,0,0,-2.55084372087677,0,0,0,0,0,0,0,0,0,-2.38777073071091,-2.33847139306719,-4.98356917108118,0,0,0,4.41819092672661,0,5.72730351821755,4.13574022241717,0,-4.05035126483875,-2.82384316546334,0,-0.644670458149307,-2.24245126969949,0,-4.89103983518862,-3.88403953261685
"SRR7423290",0,-3.93337865358801,0,-2.39273114570409,0,0,0,0,0,0,0,4.14433191321198,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.75016495496493,0,-4.48028085374308,0,0,0,0,0,6.22227731794267,4.76342543119464,0,0,-2.67260689764646,0,-0.232141837939099,-2.48493856048698,0,-4.6290909353827,-4.30403984045052
"SRR7423291",0,0,0,-2.85678403434658,0,0,0,0,0,0,0,-4.94809509373986,0,1.96692686664243,0,0,0,0,0,0,0,0,0,3.71974334117359,0,0,-2.16747247561656,0,0,0,0,0,-4.64541442319177,5.98414399948532,0,0,-3.75417245177498,0,0,0,-4.95710444209657,0,0,-0.553753249165408
"SRR7423292",-2.53148685008789,0,0,-2.3436991832451,0,0,-4.38466384304473,4.07074652471583,0,0,0,-4.05940606303819,0,0,0,-3.24014421718226,0,0,0,0,0,0,0,0,0,0,0,-2.29385489573563,0,0,0,-5.61209440801015,0,5.51655068544428,0,-2.59585456843132,0,-2.69078979489906,0,-3.97307322460472,-3.20747477438421,-4.49615200158282,-4.660584637253,-5.55550927322898
"SRR7423293",0,0,0,0,0,0,0,5.16156004089803,0,0,0,0,0,0,0,-3.1476302994247,0,0,0,0,0,0,0,0,0,-2.3634930751379,-2.50076064038161,-2.34041806187811,0,0,0,-5.45185560204681,0,5.65074966407802,4.09369008947605,-2.26475997301141,4.33144448670943,0,0,-4.05372299412477,-3.31531259677139,-3.92267934020409,0,-5.74228986058117
"SRR7423294",0,-4.34148482127539,0,0,0,0,0,5.4218546379767,0,0,0,0,0,0,0,-3.35236561298387,0,0,0,0,0,0,0,0,0,0,-4.76502473864139,0,0,0,0,-5.80646756723484,0,5.58849368322142,0,-2.36527835467101,0.45695705777899,0,0,0,-3.10054733563996,-4.09678228433311,0,-5.37030551660072
"SRR7423295",0,0,0,0,1.84173730161141,0,0,0,0,0,4.32107131864426,0,0,0,0,0,0,0,0,0,0,4.6920617663239,3.96025390409676,0,0,0,-2.37225401451473,-4.73498366578062,0,0,0,0,0,5.60772592117368,0,0,-4.10886448159875,0,0,-0.387537285826848,0,0,0,0
"SRR7423296",0,0,0,0,0,0,0,0,2.02548658467757,0,0,0,0,0,0,-2.39538271426705,0,0,-4.31436927121075,0,0,0,0,0,0,0,-2.50914152367577,0,0,0,0,4.14892456468278,0,4.02688218169541,0,0,-4.34596060238723,-2.62876992636573,4.04274045127408,0,-2.49995249709679,0,4.55316307387453,4.33004474148033
"SRR7423297",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.46814695409124,0,0,0,0,0,0,0,0,0,0,-2.48397543056992,-2.70808242329636,0,0,0,4.27495592503239,0,3.86200473256896,0,0,-4.30237165049988,-2.61360835562492,-4.01692221826923,-4.69053634823354,-2.7483407207762,0,-4.52690246302891,-4.76026576489486
"SRR7423298",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.21642817847773,0,0,0,0,0,0,0,0,0,0,-5.49482045584023,0,0,4.45584504958392,0,0,3.6312854881468,0,0,0,-2.6979471469918,4.33629118478894,0.0212473307636762,-2.36554996805499,0,-4.67298153472529,-4.09725273251419
"SRR7423299",0,0,0,-2.2567417617518,0,0,0,0,0,0,0,-3.90879139091662,0,0,-0.321499119427964,-2.14684405069488,0,0,0,0,0,0,0,0,-3.75313332106987,0,-2.42509966142126,0,0,0,0,3.7184429717305,0,6.30989823637402,0,0,-4.20039582699971,0,0,0,-4.94745296565235,0,0,-0.851337334303054
"SRR7423300",4.73431744645085,0,0,0,0,0,0,4.89935511028308,0,0,0,0,0,0,0,-2.25005759860869,0,0,0,0,0,0,0,0,0,0,-2.3192460934833,-4.95502316291257,0,0,0,3.89721408074667,0,6.09574341892894,0,0,-4.01705206916871,0,0,0.587784055059131,-5.52373009334301,0,0,-1.71064754602634
"SRR7423301",-2.70411686567195,0,0,-2.73896655437235,0,0,-4.68366780094772,0,0,0,0,-4.74402923240478,0,0,0,-2.28563819922684,0,0,0,0,0,0,0,0,0,-2.49987407155379,0,-5.1724645779534,0,0,0,3.95884148878113,0,6.24621958506307,4.32990890445525,0,0,-2.64699641812599,0,-0.560431431762834,-3.16066370173564,0,-4.58473228364704,-5.47443011704486
"SRR7423302",0,-4.11682756751523,0,4.58883040177273,0,0,0,0,0,0,0,0,0,0,0,-2.602009081472,0,0,0,0,0,0,0,0,0,0,-2.48650557029528,0,3.80617530519924,0,0,4.50681193086513,0,6.33046587835017,0,-2.71087151765609,-4.30675398105446,-2.2730004977573,0,0,-2.45350455999938,4.69536720137169,3.93695234774499,4.24959455452085
