"","562__1351","33039__357276_1118061","166486__301301_457412","46506__821_328813","626929__338188_454155","246787__626933","45851__40214_40324","357276__1118061","1282__329_1354","410072__39486_363265","1735__39492_310298","584__287_582","821__328813","33038__1689_216816","33043__147802","818__204516","100886__165179_626940","387090__665951","39492__310298","54291__158836","338188__454155","411489__28117_46503","329__1354","1260__74426","674529__296_820","40520__46228_88431","39485__28031_43765","287__582","301301__457412","47678__197_624","1689__216816","39486__363265","1318__571_40545","328812__28111_384638","626930__817_239935","165179__626940","1304__1680_1747","310297__329854","552398__823_1283","296__820","46228__88431","28117__46503","571__40545","1286__550_28116","28111__384638","1680__1747","817__239935","28130__39491_371601","29361__853_487174","28125__37734_360807","28126__546_218538","550__28116","116085__40518_376804","823__1283","39491__371601","214856__626932","853__487174","37734__360807","546__218538","40518__376804","28031__43765","569__147207_469613","197__624","40214__40324","1358__1363","147207__469613","1352__1353"
"ERR2239294",0,-2.81150612828158,0,0,0,0,0,-4.86967145997495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.54687627182366,0,0,0,0,0,0,0,0,-2.18748820820656,0,0,0,0,0,-4.41131910339019,0,0,0,-2.17043273499822,-3.78884071757156,0,0,-2.32314023198037,-2.87056428256705,0,2.20290825346079,-3.75929977142759,0,0,4.02379691489735,0,4.97196318379863,0,-5.9071894246167,0,0,0,0,0,0,0,0
"ERR2239303",0,-3.22174441831689,5.43490087814342,0,4.97794783307769,0,0,5.5802250215263,0,0,0,0,0,0,0,-0.171108010144579,0,0,0,0,0,0,0,0,-3.08016272196438,0,0,0,0,5.96788755205156,0,0,0,0,0,0,0,0,0,-5.33499833002196,0,0,0,0,0,0,0,-2.97397525817746,-2.60006070924509,0,0,0,0,0,5.15107624761614,0,4.50343725117606,0,0,0,0,0,0,0,0,0,0
"ERR2239312",5.52936988560322,0,0,2.17370382519951,0,0,0,0,0,0,-2.57137194939366,0,4.26155019890573,0,0,0,-3.4939867792807,0,4.45374686150725,0,0,-2.64568120279134,0,0,0,0,4.6248992700583,0,0,0,0,0,0,0,-2.65286125055445,6.05176262268812,0,0,0,0,0,4.58245426386454,0,0,0,0,-4.59489047139102,0,0,0,-2.76267297963035,0,0,0,0,0,0,0,-4.78508996541747,0,0,0,0,0,0,0,0
"ERR2239317",6.5792203769017,0,0,-1.2466417220079,0,0,0,0,0,0,0,0,2.15924680135284,0,0,0,0,0,0,0,0,0,0,0,0,2.7323869410531,4.13283057271279,0,0,0,0,0,0,0,-2.94247801284325,0,-1.80702188137818,0,0,0,0,0,0,0,0,3.12985370893571,-5.09652141839882,-1.71279887526645,-2.63491288103096,0,0,0,0,0,2.96665467510832,0,4.56380298346332,0,0,0,0,0,0,0,0,0,0
"ERR2239318",0,0,0,0,0,0,6.14337845850027,0,0,-2.40324218282646,0,0,0,0,0,0,-6.21039114491129,0,0,0,0,0,0,0,0,-2.29400580829819,0,0,0,0,0,-4.16253756354816,0,-2.34016715259503,0,-0.046597090025406,0,0,0,0,-3.97333461283057,0,0,0,-4.05328840649838,0,0,-3.05537960987719,-3.14324058241502,0,0,0,0,0,5.29207272071726,-4.56009350717876,5.44425238915521,0,0,0,0,0,0,0,0,0,0
"ERR2239320",0,-2.57746923019138,0,3.19986632020635,0,0,0,4.46430766163692,0,0,0,0,4.17644770163645,0,0,0,0,0,0,0,0,-3.25592182048485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63942201855192,0,-2.41627517330217,0,0,0,-2.82681638765208,-5.51303883899554,0,0,-4.18511136522665,-2.65169797649933,0,4.89618960708171,0,1.10774716496117,0,0,4.59287562162442,0,0,0,0,0,0,0
"ERR2239330",0,0,0,-6.08896842791356,0,0,0,0,0,0,0,0,0.402410413706013,0,0,0,0,0,0,0,0,-5.34345599435693,0,0,-2.84776654770596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.93247634872174,0,0.350619250682442,0,0,0,0,0,-2.90833890896797,-2.73067513519648,0,-2.84608765224031,0,-2.65325740849586,0,5.03739075596195,0,4.72966807312531,0,-4.92956841647465,4.59557663707336,0,0,0,0,0,0,0
"ERR2239331",6.0351205194457,0,0,1.33562910575818,0,0,0,0,0,0,0,0,3.8621539516065,0,0,0,-3.13833932248797,0,0,0,0,-2.16791795531415,0,0,-1.77902300211191,0,0,0,0,0,0,0,-3.20402586986625,0,0,5.43576315794046,0,0,0,-3.08135822749155,0,3.75494404524495,5.54953559537342,0,0,0,0,0,-2.30382037466975,-2.00317176173576,0,0,0,0,0,0,3.99033394044037,-3.4695952676136,0,0,0,0,0,0,0,0,0
"ERR2239339",0,0,0,-2.52266063268488,0,0,0,0,0,0,0,0,4.36937638606407,0,0,0,-3.75154858971114,0,0,0,0,0,0,0,0,0,0,0,0,4.65419300180005,0,0,0,0,0,6.49787276444306,4.21969214452963,0,0,0,0,0,0,0,0,0,0,-5.35219811809419,-4.81341500887403,0,0,0,0,0,0.745394681243088,0,0.382178736320326,0,0,0,0,0,0,0,0,0,0
"ERR2239340",5.49818063390369,4.93548651633853,0,-2.43921907097636,0,0,0,0,0,0,-2.78208803336874,0,4.22485136172202,0,0,0,-2.5028396512459,0,4.81871782492403,0,0,0,0,0,-2.6727663280624,0,0,0,0,6.96098067268027,0,0,0,0,0,4.33504543915587,0,0,0,-4.62936707696338,0,0,0,0,0,0,0,0,-2.67336590557013,0,0,0,0,0,0,0,4.63040557566985,0,0,0,0,0,0,0,0,0,0
"ERR2239352",6.07790423661094,0,0,0,0,0,0,0,0,0,0,0,0,0.829563024925981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.979941380742793,0,-2.56427599433929,0,0,0,0,0,0,0,0,0,4.44145630682485,0,0,0,0,0,4.94228509752173,0,-3.00962011677734,0,0,0,0,0,0,0,5.21281495373973,0,0,0,0,0,0,0,0
