"","308994__310297","454154__28117_633701","84026__46506_437898","228603__187327_239935","28117__633701","328813__46503_301302","387090__410072","856__40520_291645","187327__239935","46506__437898","1535__853_46228","39485__83771","39492__821_351091","28116__204516","853__46228","821__351091","28136__626937","850__36847","246787__158847_357276","1280__28111_47678","40520__291645","544645__818_40518","46503__301302","387661__234908_310298","562__371601","817__165179_360807","158847__357276","818__40518","28111__47678","234908__310298","165179__360807"
"SRR5365468",0,0,0,0,0,0,2.60404336547143,0,0,0,-2.03887048453384,0,-1.8995927787696,0,3.53142726926519,3.2901912065199,0,0,-1.93260033461985,0,0,0,0,-2.24977434257881,-2.83985885027359,-1.02308793697894,-3.3473619702862,0,0,3.89672346691136,6.75144904985402
"SRR5365469",0,-2.50178837483217,-3.32684964776263,0,4.33322457499449,0,0,0,0,5.7622726190675,0,0,-3.19844577504775,0,0,5.53987058763671,0,0,0,-2.48602227321559,0,-2.37056559576375,0,-2.55927958466021,0,-3.30933781524481,0,4.1059400545376,-4.30591688595727,4.43280227140526,5.73194123541299
"SRR5365470",0,1.88966677281903,0,0,4.02589564596338,-2.17167826594469,5.11120405054682,0,0,0,0,0,-2.26079395687394,0,0,3.91580999875035,0,0,0,0,0,0,3.76145709430929,-4.60375998369092,0,-3.79121003703295,0,0,0,-0.478323772258649,6.56656840630615
"SRR5365471",0,-2.90825773134825,-2.93283610252809,0,5.03725015220017,0,0,0,0,5.07982113985094,0,0,-3.6106662204888,0,0,6.2538573430593,0,0,0,-2.27434526675701,0,0,0,-2.98434104211338,-3.94041529053335,-2.40030907466743,0,0,-3.93928155597693,5.16903031205342,4.15745727119262
"SRR5365472",0,-2.49698718938408,-1.44394627251403,0,4.32490867786184,0,0,0,0,2.500988307394,0,0,-2.64649646937081,0,0,4.5838663470019,0,0,-2.62795335851263,-1.65526387635033,0,0,0,-1.5350442458661,0,-0.894308136144187,-4.55174873686514,0,-2.86700113377219,-2.65877462570633,6.67891758324308
"SRR5365473",-0.980579149751385,0,0,-2.11604014828927,0,0,0,0,3.66508904769259,0,-2.32913796470264,0,-2.52672272484911,3.64976537473156,-4.03418529270254,4.37641213607754,0,0,0,0,0,0,0,-5.31210011614215,0,-3.60749586837507,0,0,0,-2.23706388507415,6.24836613212043
"SRR5365474",0,-2.7592368095572,0,0,4.77913834426733,0,0,0,0,0,-2.37006853516819,0,-4.97332180068374,0,4.10507912033165,0.701854895442629,0,0,0,0,0,-2.30382623754087,0,-5.28731756220059,0,-3.6262704634007,0,3.99034409523103,0,-0.31435706397616,6.28088468459635
"SRR5365475",-4.32677842496824,-2.74096116443721,-2.47800068575986,0,-4.7474839983784,0,0,0,0,-4.2920230889266,0,0,-2.67200687527298,-4.32720441887222,0,4.62805166614616,0,0,-2.58987805412423,0,0,0,0,-5.75770291931449,0,-3.43309941648572,-4.48580037515079,0,0,-0.758664133374148,5.94630261678833
"SRR5365476",-5.68788709652555,0,-2.52067524139982,0,0,0,0,-2.22095413092433,0,4.36593758748544,0,0,-3.3524808268896,-4.52346474527906,0,5.80666712357331,0,0,0,0,-3.84680539604092,0,0,-3.53830339331763,0,-2.13024630880057,0,0,0,-6.12852124981951,3.68969483947865
"SRR5365477",0,0,-2.67173779899667,0,0,5.60918890046092,0,0,0,4.62758561236448,0,0,-3.37969168471789,4.58144239957996,0,5.85379771184944,0,0,-2.84282104413373,0,0,-2.94049238660735,0,0,-4.60719911997184,-2.48810810028975,-4.92391048526563,5.09308221287339,0,0,4.30952964442553
"SRR5365478",-4.48613104137966,0,-2.22387020254023,0,0,-2.42207689777074,0,0,0,3.85185618023818,0,0,-2.86829616012235,-4.87838754695659,0,4.96803468048663,0,0,0,0,0,4.24744452946138,4.19516024677773,-5.84867736570741,0,-3.49540306403878,0,0,0,-1.12834646850354,6.05421569984709
"SRR5365479",-3.79637066401994,0,0,0,0,0,0,0,0,0,-1.88359875873583,0,-1.99708931483155,0,3.26248875120413,3.45906016054116,0,-3.09571276553873,0,3.44531399935219,0,0,0,-2.95442210028175,0,-0.442567591421727,0,0,0,-5.11720918469235,6.64478078434113
"SRR5365480",0,0,-2.74782015136034,0,0,0,0,0,0,4.75936411221771,0,0,-2.74421111265717,4.35973615376938,0,4.75311307381734,0,0,-3.59326774316209,0,0,-2.82093032018681,0,0,-4.8238374142148,0,-6.2237222963551,4.8859946391751,0,0,0
"SRR5365481",0,0,-1.98752189374544,0,0,-2.31130207630805,0,0,0,3.44248890112261,0,0,-2.77119187449043,-3.674069707408,0,4.79984512413947,0,0,-2.11753131373786,0,0,0,4.00329262780498,-4.93411506180899,0,-3.79083448743843,-3.66767182201205,0,0,-0.33858288425618,6.56591793532768
"SRR5365482",0,-3.13915907573607,0,0,-5.43718301221582,-2.0019214275235,0,0,0,0,0,0,-2.00431319296446,-3.65594958711594,0,3.47157228449505,3.94583123498493,0,0,0,0,0,3.46742962523152,-5.44846747376251,0,-3.61019409314151,0,0,0,0.534186698434628,6.25303959450614
