"","818__40519_387090","821__856","45851__1605_40518","1304__820_328813","1735__853_165179","309120__397865","729__1502","850__1515_84026","820__328813","28125__28136","46503__454155","189722__228603","218538__234908_351091","40519__387090","310297__310298","1605__40518","28026__762212","228604__29363_39491","853__165179","1018__28111_39492","562__358742","1264__28117_47678","52226__39485_158847","823__817_1297750","371601__28116_204516","840__308994_360807","39484__46506_487175","28117__47678","39485__158847","437898__357276_454154","817__1297750","308994__360807","46506__487175","28111__39492","234908__351091","28116__204516","357276__454154","376804__589436","29363__39491","1515__84026","40520__1161942"
"SRR5446986",0,1.20423257155941,0,-2.59066776116354,0,0,0,0,4.48716818786597,0,4.04004479147675,0,0,0,0,0,0,0,0,0,0,0,-2.58841531299604,0,4.41364458883932,0,-5.4968639313204,0,-4.48326683319845,0,0,0,0.68535153142549,0,0,0,0,0,0,0,0
"SRR5446987",0,5.28833779036653,0,-3.63221220481164,0,0,0,0,6.29117608260554,0,0,0,0,0,0,0,0,0,0,0,0.944934005507615,0,0,-5.44035961674198,6.11907820766018,0,0,0,0,-1.87519672528273,-0.103198801615741,0,0,0,0,0,-3.24793600237647,0,0,0,0
"SRR5446989",4.5849098078402,4.00344412641701,0,0,-2.43505512667265,0,0,0,0,0,0,0,0,0,-1.63796327273254,0,0,0,4.21763919862811,0,0,-2.27391044472125,0,-2.55128620956395,-2.73211369954467,0,-2.3457173542038,3.93852842211875,0,0,-4.41895733961458,0,4.06290163767703,0,0,-4.73215973966634,0,0,0,0,0
"SRR5446990",5.11605803640554,5.07422434641785,0,-2.53781703104584,0,0,0,0,4.395628038085,0,0,0,0,0,0,0,0,0,0,-2.8830490605732,0,-2.51846158112,0,-2.52263302895178,-2.79683713149281,0,-3.12734100737394,4.36210341541009,0,-2.740059392375,-4.36932857499585,0,5.4167135173653,-4.9935874536265,0,-4.84426401224074,-4.74592208334981,0,0,0,0
"SRR5446991",4.03784086300747,3.82616790221246,0,0,-5.93617318015846,0,3.74684773601445,0,0,0,0,0,0,0,-4.57091837005591,0,0,0,-2.91603560435333,0,0,0,0,-2.0471648035718,-2.11351246162796,0,0,0,0,0,-3.54579345125311,0,0,0,0,-3.66071096596959,0,0,0,0,0
"SRR5446999",-2.81767350377718,0,0,-5.24641060313892,-2.75757805596345,0,0,0,0.142621991907566,0,0,0,0,-4.88035366768269,-5.86700707786118,0,0,0,-4.77626529876571,-4.92704119006615,0,-2.54709743498591,0,0,0,0,0,4.41170216922396,0,0,0,0,0,0.0376944083160186,0,0,0,0,0,0,0
"SRR5447000",3.92511001504946,3.9796620858977,0,2.28627804383661,-5.80029822366231,-3.50673676786805,0,0,3.45013828096294,0,0,0,0,0,0,0,0,0,-3.01045278514411,0,0,0,0,0,0,-2.08076277596179,0,0,0,0,0,-3.60398684646388,0,0,0,0,0,-4.38541441308165,0,0,0
"SRR5447002",0,0,0,-2.66610661778151,-5.73803613814945,-0.153140878784317,0,0,4.6178321203932,0,0,0,0,0,0,0,0,0,-1.98665739685744,0,0,0,0,0,0,2.93220321460909,0,0,0,-2.22573925279674,0,4.51469538888868,0,0,0,0,3.85509347024434,0,0,0,0
"SRR5447003",0,4.68799465442788,0,-2.79073438745665,0,0,0,0,4.83369374950453,0,0,0,0,0,0,0,0,0,0,0,0,-2.54108412383086,-2.43388902059905,-2.58336168844699,2.42986218332311,0,0,4.40128680878169,4.2156194436616,-5.59895214608016,-4.4745136987171,0,0,0,0,5.02233253393168,1.11509730871363,0,0,0,0
"SRR5447005",0,5.32335628435269,0,-2.71286763372808,0,0,0,0,4.69882457582619,0,0,0,0,0,-5.82709690426037,0,0,0,0,0,0,-2.59401838498002,0,-2.36668033576131,0,0,-2.80121021235311,-4.49297163855316,0,1.94980743600426,4.09921058681275,0,4.85183841047639,0,0,0,4.64015964530214,0,0,0,0
"SRR5447012",0,3.83469783922448,0,0,-3.75204204224782,0,0,0,0,0,-0.593420560219876,0,0,0,-3.76929779564823,0,0,0,-6.49872744930772,1.66759606532439,0,0,0,0,0,0,0,0,0,-2.05238069897295,0,0,0,4.14111457330262,0,0,3.55482764709487,0,0,0,0
"SRR5447022",0,4.61243126954387,0,4.47553613530722,-2.8902672050809,0,0.362380847865594,0,0,0,0,0,0,0,-1.3326349181334,0,0,0,5.00608964665022,0,0,0,0,0,-2.22712115984629,0,-2.18887388563156,0,0,0,0,0,-3.79124078127457,0,0,-3.8574870034655,0,0,0,0,0
"SRR5447030",5.3016702559049,5.10262666878681,0,-3.08663049065691,0,0,0,0,5.34620083400902,0,0,0,0,0,0,0,0,0,0,0,0,-2.77483282746924,0,-2.25152341232831,2.13439546709876,0,-3.29020965833713,4.80615143968673,0,-2.3777507194847,-3.89975294458348,0,5.69881029579375,0,0,-4.91439019632463,-4.11838505388095,0,0,0,0
"SRR5447035",0,0,0,0,-6.16095523647604,0,0,0,0,0,0,0,-1.93457204145974,0,-3.95700958848857,0,0,0,-2.27940972557138,0,0,-2.40915549837308,-2.42290592220663,0,-1.89996673667797,0,0,4.17277972651609,4.19659615922141,-1.97700803805568,0,0,0,0,-3.35077706671051,-3.29083892061708,-3.4242783688845,-3.99115685631935,0,0,0
"SRR5447045",0,5.14164589294809,0,-2.2692455795012,-2.23638506172835,0,0,0,3.93044863854716,0,0,0,0,0,-1.44116918147244,0,0,-1.91242432519349,3.87353255220156,0,0,0,0,-2.21849010594982,-2.68436042863501,0,-2.59834407968064,0,0,0,-3.84253757959395,0,4.50046396155266,0,0,-4.64944864822321,0,0,-3.31241609686575,0,0
"SRR5447046",0,3.51171430553641,0,-2.24509682116342,-3.75296534762963,0,0,-2.07588217081803,3.88862176216642,0,0,0,4.47538968790265,0,0,0,0,0,-6.50032666113992,-2.31803174770196,0,0,0,0,0,-1.95471973859325,0,0,0,0,0,3.38567390180126,0,-4.01494876057748,0,0,0,0,0,3.5955333903832,-4.12915765253796
