"","329__820_853","823__39491","1304__1358_1363","40214__40324","28130__116085_371601","1282__818_47678","411489__28111_357276","820__853","674529__487175_552398","328812__363265_384638","1260__33043","1582__296_626940","626932__165179_360807","100886__39486_410072","116085__371601","54291__158836","291644__751585","28111__357276","582__287_88431","729__46506_166486","1283__562_328813","818__47678","1689__1735_216816","550__545_624","1286__571_573","363265__384638","40519__546_33039","1354__40545_310297","296__626940","165179__360807","626933__239935_246787","287__88431","562__328813","28126__46228_328814","322095__817_218538","338188__28117_40518","546__33039","1623__1680_45851","46506__166486","665951__821_204516","239935__246787","40545__310297","817__218538","571__573","501496__39485_39492","1680__45851","1735__216816","821__204516","1318__28026_147207","46228__328814","37734__28116_487174","301301__457412","28117__40518","39485__39492","74426__147802","1358__1363","28116__487174","487175__552398","43765__1681_754333","545__624","1681__754333","1352__1353","39486__410072","28026__147207"
"ERR2239310",-6.40330246701593,-4.20020475704841,0,0,0,0,0,0.0762253313896204,0,0,0,0,0,0,0,0,-4.21949696114769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68459343090946,0,0,0,-2.68617012122338,0,0,0,0,0,0,0,4.65258312773235,0,0,-2.66458621847563,0,4.64985222000083,0,0,0,-4.61519871154761,0,-5.84492630799312,0,-0.852754535743825,0,0,0
"ERR2239312",0,0,0,0,0,0,0,0,0,0,0,0,-3.49398651389939,0,0,0,0,0,0,-2.3170552244701,-3.19238292652072,0,0,0,0,0,0,0,0,6.05176216303421,-2.65286098517314,0,5.5293694259493,0,-2.76267271424904,-2.64568093741003,0,0,4.01325737272513,-2.46040688912201,4.5948900117371,0,-4.78508950576355,0,-4.88382105366018,0,0,4.26154973925181,0,0,0,0,4.58245380421063,-0.448466603692653,0,0,0,0,0,0,0,0,0,0
"ERR2239317",-2.63491261564965,-2.9666542154544,0,0,0,0,0,-4.5638025238094,0,0,0,0,0,0,0,0,0,0,0,0,-3.79851439028076,0,0,0,0,0,0,0,0,0,-2.94247774746194,0,6.57921991724779,0,0,0,0,-1.80702161599687,0,-1.24664145662659,5.0965209587449,0,0,0,-2.06641502097508,3.12985324928179,0,2.15924634169892,0,0,0,0,0,3.57913580585235,0,0,0,0,0,0,0,0,0,0
"ERR2239318",-3.14324031703371,-5.29207226106334,0,0,0,0,0,-5.44425192950129,0,-4.74340880465886,0,-3.11864672830914,2.17379801119689,0,0,0,0,0,-2.29400554291687,0,0,0,0,0,0,0.109249157049781,0,0,-5.40165458428989,5.35505749426448,0,-3.97333415317665,0,0,0,0,0,-3.07168896386882,0,0,0,0,0,0,0,-5.32032135046941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239320",-3.07629821605864,-4.8961891474278,0,0,0,0,-2.57746896481007,-5.32830480944707,0,0,0,0,0,0,0,0,0,-4.46430720198301,0,-2.80556949711996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.90761926622156,0,0,4.85938891317724,-2.41127293941489,0,0,0,0,0,0,0,4.17644724198254,0,0,-4.85301500009512,0,1.0465463969275,0,0,0,-0.0354467389131654,0,0,0,0,0,0,0
"ERR2239330",-5.57844115213981,-5.03739029630804,0,0,0,0,0,0.202808275596429,0,0,0,0,0,0,0,0,0,0,0,0,-2.92831806823653,0,0,0,0,0,0,0,0,0,0,0,-5.07199567490762,0,-2.846087386859,-5.42619993429398,0,0,0,-3.16064982891441,0,0,-4.92956795682073,0,0,0,0,5.47440608861363,0,0,0,0,0.207301623385195,0,0,0,0,0,0,0,0,0,0,0
"ERR2239331",-4.08284284601904,0,0,0,0,0,0,-0.908975712948824,0,0,0,0,-5.14151055346111,0,0,0,0,0,0,-1.78272209930367,-3.4843781911125,0,0,0,-3.20402560448494,0,0,0,0,1.96616789032686,0,0,6.03512005979178,0,0,-2.16791768993284,0,0,3.08776525176981,-2.22981535823048,0,0,0,5.54953513571951,0,0,0,3.86215349195258,0,0,0,0,3.75494358559103,0,0,0,0,0,0,0,0,0,0,0
"ERR2239339",-2.51703273720225,-5.00783641732446,4.21969161376701,0,-2.46092188373168,-2.32709623551871,0,-4.35962858514846,0,0,0,0,-3.75154832432982,0,-4.26244173608137,0,0,0,0,4.15398996939068,0,-4.03064891402068,0,0,0,0,0,0,0,6.49787230478914,0,0,0,0,0,0,0,0,0,-2.52266036730357,0,0,0,0,0,0,0,4.36937592641015,0,0,-2.29638174090916,0,0,0,0,0,-3.97744984882813,0,0,0,0,0,0,0
"ERR2239340",-5.34613170286991,0,0,0,0,-3.48049007095882,0,-0.00103849870647523,0,0,0,0,-2.50283938586459,0,0,0,0,0,0,0,-3.17437580365617,-6.02838563813969,0,0,0,0,-2.46774299278795,0,0,4.33504497950196,0,0,5.49818017424978,0,0,0,-4.27425624353081,0,0,-2.43921880559505,0,0,0,0,-2.78208776798743,0,0,4.2248509020681,0,0,0,0,0,-4.81871736527012,0,0,0,0,0,0,0,0,0,0
"ERR2239347",-5.33020481240029,0,0,0,0,0,-2.8425363963874,-0.218982647314755,0,0,0,0,-3.58936183822519,0,0,0,0,-4.92341746090672,0,0,0,0,0,0,0,0,0,0,0,6.21695707055484,0,0,0,-2.55212519945166,0,-2.53191990964463,0,0,0,-5.33834236906129,0,0,0,0,-2.38672428396569,0,0,-0.0653523746285158,0,4.42041051272713,0,0,4.3854139241997,4.13392772348703,0,0,0,0,0,0,0,0,0,0
